,DATA,VALOR_REEMBOLSADO
707,2012-12-08,15146.42
708,2012-12-09,18088.84
709,2012-12-10,184316.77
710,2012-12-11,236991.21
711,2012-12-12,214901.85
712,2012-12-13,146669.76
713,2012-12-14,105822.66
714,2012-12-15,31089.27
715,2012-12-16,16733.86
716,2012-12-17,134315.74
717,2012-12-18,166698.44
718,2012-12-19,92056.12
719,2012-12-20,104761.77
720,2012-12-21,119023.02
721,2012-12-22,7687.72
722,2012-12-23,11172.960000000001
723,2012-12-24,10529.1
724,2012-12-25,8990.69
725,2012-12-26,42729.91
726,2012-12-27,43027.05
727,2012-12-28,130291.18000000001
728,2012-12-29,4374.7300000000005
729,2012-12-30,52284.18
730,2012-12-31,52278.05
731,2013-01-01,54096.29
732,2013-01-02,83450.25
733,2013-01-03,27116.99
734,2013-01-04,33677.69
735,2013-01-05,52653.64
736,2013-01-06,15218.800000000001
737,2013-01-07,50982.81
738,2013-01-08,23712.66
739,2013-01-09,29918.97
740,2013-01-10,78485.49
741,2013-01-11,28325.45
742,2013-01-12,16432.3
743,2013-01-13,16591.76
744,2013-01-14,80696.75
745,2013-01-15,37155.4
746,2013-01-16,10474.5
747,2013-01-17,40429.58
748,2013-01-18,23855.07
749,2013-01-19,8886.2
750,2013-01-20,11559.55
751,2013-01-21,62405.270000000004
752,2013-01-22,21858.49
753,2013-01-23,167453.04
754,2013-01-24,99835.53
755,2013-01-25,55283.41
756,2013-01-26,22750.5
757,2013-01-27,13833.01
758,2013-01-28,115401.32
759,2013-01-29,54757.97
760,2013-01-30,68462.29
761,2013-01-31,112628.84
762,2013-02-01,199956.58000000002
763,2013-02-02,40071.89
764,2013-02-03,9479.76
765,2013-02-04,76191.68
766,2013-02-05,88777.07
767,2013-02-06,73272.59
768,2013-02-07,55777.32
769,2013-02-08,50232.83
770,2013-02-09,17907.170000000002
771,2013-02-10,15990.71
772,2013-02-11,4732.7
773,2013-02-12,19089.07
774,2013-02-13,39165.3
775,2013-02-14,62981.83
776,2013-02-15,74077.93
777,2013-02-16,14598.2
778,2013-02-17,14890.1
779,2013-02-18,94800.97
780,2013-02-19,92274.35
781,2013-02-20,79900.81999999999
782,2013-02-21,81347.88
783,2013-02-22,53818.13
784,2013-02-23,13916.68
785,2013-02-24,8585.52
786,2013-02-25,160637.78
787,2013-02-26,118255.83
788,2013-02-27,63720.39
789,2013-02-28,178930.32
790,2013-03-01,165296.74
791,2013-03-02,17940.4
792,2013-03-03,11687.58
793,2013-03-04,77703.81
794,2013-03-05,107101.63
795,2013-03-06,47231.44
796,2013-03-07,78055.4
797,2013-03-08,54221.43
798,2013-03-09,17209.38
799,2013-03-10,25005.18
800,2013-03-11,170912.37
801,2013-03-12,61363.25
802,2013-03-13,34020.86
803,2013-03-14,100208.25
804,2013-03-15,100972.75
805,2013-03-16,20823.48
806,2013-03-17,10628.49
807,2013-03-18,83060.47
808,2013-03-19,72222.6
809,2013-03-20,59844.55
810,2013-03-21,83889.13
811,2013-03-22,73048.17
812,2013-03-23,29043.58
813,2013-03-24,19712.34
814,2013-03-25,89393.22
815,2013-03-26,85282.16
816,2013-03-27,117545.09
817,2013-03-28,57966.2
818,2013-03-29,14471.71
819,2013-03-30,60622.26
820,2013-03-31,49826.74
821,2013-04-01,226757.77
822,2013-04-02,153483.63
823,2013-04-03,60528.29
824,2013-04-04,83377.12
825,2013-04-05,108263.36
826,2013-04-06,23722.06
827,2013-04-07,22236.23
828,2013-04-08,89796.0
829,2013-04-09,82620.58
830,2013-04-10,52273.17
831,2013-04-11,71531.26
832,2013-04-12,75081.85
833,2013-04-13,11395.76
834,2013-04-14,20102.94
835,2013-04-15,88022.22
836,2013-04-16,88764.79
837,2013-04-17,61977.7
838,2013-04-18,69321.32
839,2013-04-19,127815.62000000001
840,2013-04-20,15286.02
841,2013-04-21,8665.55
842,2013-04-22,79829.47
843,2013-04-23,51232.89
844,2013-04-24,64379.49
845,2013-04-25,86751.51
846,2013-04-26,42979.14
847,2013-04-27,15398.09
848,2013-04-28,18944.18
849,2013-04-29,135350.27
850,2013-04-30,172486.1
851,2013-05-01,77788.44
852,2013-05-02,166799.31
853,2013-05-03,78173.92
854,2013-05-04,11047.59
855,2013-05-05,45810.28
856,2013-05-06,124982.99
857,2013-05-07,92589.25
858,2013-05-08,77148.81
859,2013-05-09,70803.29
860,2013-05-10,70813.77
861,2013-05-11,13553.26
862,2013-05-12,7852.92
863,2013-05-13,90122.47
864,2013-05-14,69334.89
865,2013-05-15,77527.9
866,2013-05-16,73495.73
867,2013-05-17,72355.45
868,2013-05-18,15399.98
869,2013-05-19,17963.83
870,2013-05-20,58293.409999999996
871,2013-05-21,51511.55
872,2013-05-22,40940.29
873,2013-05-23,104340.21
874,2013-05-24,54520.49
875,2013-05-25,23698.17
876,2013-05-26,18824.61
877,2013-05-27,85672.04
878,2013-05-28,69446.04
879,2013-05-29,81786.5
880,2013-05-30,25740.62
881,2013-05-31,111011.12
882,2013-06-01,78366.11
883,2013-06-02,21877.88
884,2013-06-03,218640.09
885,2013-06-04,118315.04000000001
886,2013-06-05,116654.18
887,2013-06-06,151718.01
888,2013-06-07,45756.75
889,2013-06-08,18073.45
890,2013-06-09,24519.47
891,2013-06-10,81371.63
892,2013-06-11,67189.05
893,2013-06-12,48164.44
894,2013-06-13,66229.39
895,2013-06-14,87299.21
896,2013-06-15,22383.65
897,2013-06-16,13051.61
898,2013-06-17,80901.78
899,2013-06-18,54204.72
900,2013-06-19,82196.92
901,2013-06-20,75591.41
902,2013-06-21,36227.71
903,2013-06-22,13510.42
904,2013-06-23,13875.390000000001
905,2013-06-24,76414.64
906,2013-06-25,91137.66
907,2013-06-26,68648.65
908,2013-06-27,123809.05
909,2013-06-28,121396.55
910,2013-06-29,22232.11
911,2013-06-30,68074.67
912,2013-07-01,276969.87
913,2013-07-02,106660.76
914,2013-07-03,64209.72
915,2013-07-04,107131.55
916,2013-07-05,169876.36
917,2013-07-06,11992.87
918,2013-07-07,21153.94
919,2013-07-08,105543.82
920,2013-07-09,65750.35
921,2013-07-10,55621.82
922,2013-07-11,82462.93000000001
923,2013-07-12,101687.46
924,2013-07-13,13824.93
925,2013-07-14,20756.72
926,2013-07-15,138669.65
927,2013-07-16,148452.08
928,2013-07-17,67256.91
929,2013-07-18,54861.12
930,2013-07-19,50139.78
931,2013-07-20,15706.470000000001
932,2013-07-21,4301.12
933,2013-07-22,69182.9
934,2013-07-23,48935.54
935,2013-07-24,40562.880000000005
936,2013-07-25,49882.58
937,2013-07-26,33612.23
938,2013-07-27,7909.13
939,2013-07-28,14444.75
940,2013-07-29,55440.47
941,2013-07-30,84299.34999999999
942,2013-07-31,121391.69
943,2013-08-01,216531.52
944,2013-08-02,79249.06
945,2013-08-03,8866.9
946,2013-08-04,25425.91
947,2013-08-05,158578.11
948,2013-08-06,64871.07
949,2013-08-07,81406.66
950,2013-08-08,107569.59999999999
951,2013-08-09,55522.73
952,2013-08-10,21387.42
953,2013-08-11,16898.59
954,2013-08-12,112191.86
955,2013-08-13,63252.66
956,2013-08-14,44362.56
957,2013-08-15,112941.29
958,2013-08-16,53548.25
959,2013-08-17,10555.26
960,2013-08-18,26362.85
961,2013-08-19,94500.79
962,2013-08-20,68388.99
963,2013-08-21,60821.03
964,2013-08-22,85546.98
965,2013-08-23,70683.64
966,2013-08-24,16469.7
967,2013-08-25,20668.739999999998
968,2013-08-26,57363.79
969,2013-08-27,92078.39
970,2013-08-28,36255.97
971,2013-08-29,70682.69
972,2013-08-30,112863.3
973,2013-08-31,31950.35
974,2013-09-01,81531.45
